Concept,Present in HEURISTIC,Present in TEXT_RETRIEVAL,Files only in HEURISTIC,Files only in TEXT_RETRIEVAL
cinema,True,True,None,booking-service/mock/index.js;booking-service/src/models/booking.model.js;booking-service/src/api/booking.spec.js;booking-service/src/repository/repository.js;cinema-catalog-service/src/index.js;booking-service/src/models/ticket.model.js;notification-service/src/models/notification.model.js;cinema-catalog-service/src/server/server.js;cinema-catalog-service/src/config/config.js;notification-service/integration-test/index.js;notification-service/src/api/notification.spec.js;booking-service/src/models/index.spec.js;booking-service/integration-test/index.js;notification-service/src/models/index.spec.js;notification-service/src/repository/repository.js
email,True,True,None,booking-service/src/api/booking.spec.js;notification-service/src/models/notification.model.js;booking-service/src/api/booking.js;notification-service/src/config/config.js;booking-service/src/models/index.spec.js;booking-service/integration-test/index.js;booking-service/src/models/user.model.js;notification-service/src/models/index.spec.js;notification-service/src/repository/repository.js
id,True,True,None,api-gateway/integration-test/index.js;booking-service/src/config/di/di.js;booking-service/src/api/booking.spec.js;notification-service/src/models/index.spec.js;notification-service/src/models/notification.model.js;movies-service/src/mock/movies.js;payment-service/src/config/di/di.js;booking-service/src/config/db/index.js;notification-service/integration-test/index.js;booking-service/src/models/index.spec.js;cinema-catalog-service/src/repository/repository.js;cinema-catalog-service/src/config/index.js;cinema-catalog-service/src/api/cinema-catalog.js;payment-service/src/config/db/index.js;notification-service/src/config/di/di.proto.js;booking-service/src/api/booking.js;movies-service/src/api/movies.spec.js;api-gateway/src/server/server.js;notification-service/src/repository/repository.js;movies-service/src/api/movies.js;booking-service/src/repository/repository.js;cinema-catalog-service/src/index.js;booking-service/src/models/ticket.model.js;payment-service/src/repository/repository.js;cinema-catalog-service/src/api/cinema-catalog.spec.js;movies-service/src/repository/repository.js;notification-service/src/api/notification.spec.js;payment-service/src/config/di/di.proto.js;booking-service/src/config/di/di.proto.js;api-gateway/src/docker/docker.js
movie,True,True,None,payment-service/src/api/payment.spec.js;booking-service/src/api/booking.spec.js;booking-service/mock/index.js;payment-service/integration-test/index.js;movies-service/src/index.js;movies-service/src/config/config.js;cinema-catalog-service/src/api/cinema-catalog.js;booking-service/src/api/booking.js;booking-service/integration-test/index.js;payment-service/src/models/index.spec.js;notification-service/src/models/index.spec.js;notification-service/src/repository/repository.js;movies-service/src/server/server.js;booking-service/src/models/booking.model.js;booking-service/src/repository/repository.js;booking-service/src/models/ticket.model.js;notification-service/src/models/notification.model.js;cinema-catalog-service/src/api/cinema-catalog.spec.js;notification-service/integration-test/index.js;notification-service/src/api/notification.spec.js;booking-service/src/models/index.spec.js;cinema-catalog-service/src/repository/repository.js;cinema-catalog-service/integration-test/index.js
notification,True,True,None,notification-service/src/index.js;booking-service/src/config/di/di.js;booking-service/src/api/booking.spec.js;notification-service/src/server/server.js;notification-service/src/config/di/di.proto.js;notification-service/src/models/notification.model.js;booking-service/src/services/index.js;booking-service/src/api/booking.js;payment-service/src/config/di/di.proto.js;booking-service/src/config/di/di.proto.js;notification-service/src/models/index.js;notification-service/src/models/index.spec.js
payment,True,True,None,booking-service/src/services/notification.service.js;booking-service/src/config/di/di.js;booking-service/src/api/booking.spec.js;payment-service/src/config/config.js;payment-service/src/models/payment.model.js;notification-service/src/config/di/di.proto.js;booking-service/src/services/index.js;payment-service/src/server/server.js;payment-service/src/models/index.js;booking-service/src/api/booking.js;payment-service/src/config/di/di.proto.js;payment-service/src/index.js;payment-service/src/models/index.spec.js;booking-service/src/config/di/di.proto.js
premiere,True,True,None,cinema-catalog-service/src/repository/repository.js;cinema-catalog-service/src/api/cinema-catalog.spec.js
purchase,True,True,None,payment-service/src/repository/repository.js
send,True,True,None,movies-service/src/server/server.js;payment-service/src/api/payment.spec.js;booking-service/src/api/booking.spec.js;notification-service/src/server/server.js;payment-service/integration-test/index.js;cinema-catalog-service/src/server/server.js;payment-service/src/server/server.js;movies-service/src/repository/repository.js;booking-service/src/server/server.js;cinema-catalog-service/src/repository/repository.js;booking-service/integration-test/index.js;booking-service/src/services/payment.service.js;notification-service/src/repository/repository.js
sms,True,True,None,notification-service/src/repository/repository.js
