Concept,Present in HEURISTIC,Present in TEXT_RETRIEVAL,Files only in HEURISTIC,Files only in TEXT_RETRIEVAL
access,True,True,None,None
allow,True,True,None,None
content,True,True,None,web/static/js/controller.js
control,True,True,None,mongo/catalogue.js
order,True,True,None,web/static/js/controller.js
origin,True,True,None,None
product,True,True,None,cart/server.js;mongo/users.js;web/static/js/controller.js
user,True,True,None,web/static/js/controller.js
timing,True,False,None,None
type,True,False,None,None
across,False,True,None,None
active,False,True,None,None
adapter,False,True,None,None
add,False,True,None,None
address,False,True,None,None
air,False,True,None,None
already,False,True,None,None
android,False,True,None,None
angular,False,True,None,None
annotate,False,True,None,None
anonymous,False,True,None,None
anything,False,True,None,None
append,False,True,None,None
application,False,True,None,None
apply,False,True,None,None
array,False,True,None,None
artificial,False,True,None,None
assistant,False,True,None,None
attach,False,True,None,None
attribute,False,True,None,None
auto,False,True,None,None
automatic,False,True,None,None
available,False,True,None,None
avg,False,True,None,None
bedside,False,True,None,None
bite,False,True,None,None
block,False,True,None,None
blur,False,True,None,None
body,False,True,None,None
bottom,False,True,None,None
bound,False,True,None,None
breath,False,True,None,None
bring,False,True,None,None
button,False,True,None,None
buy,False,True,None,None
cache,False,True,None,None
calc,False,True,None,None
call,False,True,None,None
capability,False,True,None,None
cart,False,True,None,None
cat,False,True,None,None
catalogue,False,True,None,None
category,False,True,None,None
change,False,True,None,None
char,False,True,None,None
character,False,True,None,None
check,False,True,None,None
child,False,True,None,None
city,False,True,None,None
class,False,True,None,None
clear,False,True,None,None
click,False,True,None,None
client,False,True,None,None
code,False,True,None,None
collection,False,True,None,None
collector,False,True,None,None
com,False,True,None,None
complete,False,True,None,None
compute,False,True,None,None
confirm,False,True,None,None
confirmation,False,True,None,None
connect,False,True,None,None
connection,False,True,None,None
console,False,True,None,None
cont,False,True,None,None
contain,False,True,None,None
container,False,True,None,None
context,False,True,None,None
controller,False,True,None,None
copyright,False,True,None,None
cost,False,True,None,None
counter,False,True,None,None
country,False,True,None,None
create,False,True,None,None
current,False,True,None,None
custom,False,True,None,None
cyborg,False,True,None,None
database,False,True,None,None
datum,False,True,None,None
db,False,True,None,None
debug,False,True,None,None
define,False,True,None,None
delay,False,True,None,None
description,False,True,None,None
destroy,False,True,None,None
detach,False,True,None,None
detail,False,True,None,None
development,False,True,None,None
diplomatic,False,True,None,None
disable,False,True,None,None
display,False,True,None,None
distance,False,True,None,None
distinct,False,True,None,None
div,False,True,None,None
document,False,True,None,None
doe,False,True,None,None
down,False,True,None,None
el,False,True,None,None
element,False,True,None,None
email,False,True,None,None
empty,False,True,None,None
emulator,False,True,None,None
enable,False,True,None,None
enforcer,False,True,None,None
enter,False,True,None,None
environment,False,True,None,None
equal,False,True,None,None
err,False,True,None,None
error,False,True,None,None
escape,False,True,None,None
etc,False,True,None,None
event,False,True,None,None
excellent,False,True,None,None
exceptional,False,True,None,None
exist,False,True,None,None
exp,False,True,None,None
export,False,True,None,None
express,False,True,None,None
extend,False,True,None,None
extraterrestrial,False,True,None,None
extreme,False,True,None,None
factory,False,True,None,None
far,False,True,None,None
fast,False,True,None,None
feedback,False,True,None,None
fellow,False,True,None,None
fetch,False,True,None,None
field,False,True,None,None
final,False,True,None,None
find,False,True,None,None
fire,False,True,None,None
first,False,True,None,None
floor,False,True,None,None
focus,False,True,None,None
format,False,True,None,None
fragment,False,True,None,None
fresh,False,True,None,None
full,False,True,None,None
fully,False,True,None,None
galaxy,False,True,None,None
generate,False,True,None,None
git,False,True,None,None
go,False,True,None,None
greater,False,True,None,None
guru,False,True,None,None
hack,False,True,None,None
handler,False,True,None,None
handy,False,True,None,None
harvest,False,True,None,None
harvester,False,True,None,None
hash,False,True,None,None
header,False,True,None,None
health,False,True,None,None
height,False,True,None,None
help,False,True,None,None
helper,False,True,None,None
hide,False,True,None,None
high,False,True,None,None
history,False,True,None,None
hit,False,True,None,None
host,False,True,None,None
hover,False,True,None,None
howdy,False,True,None,None
html,False,True,None,None
hub,False,True,None,None
human,False,True,None,None
id,False,True,None,None
inc,False,True,None,None
incorrect,False,True,None,None
index,False,True,None,None
inner,False,True,None,None
input,False,True,None,None
insert,False,True,None,None
insufficient,False,True,None,None
int,False,True,None,None
intelligence,False,True,None,None
item,False,True,None,None
java,False,True,None,None
join,False,True,None,None
juggernaut,False,True,None,None
key,False,True,None,None
keydown,False,True,None,None
keyup,False,True,None,None
label,False,True,None,None
last,False,True,None,None
later,False,True,None,None
leave,False,True,None,None
length,False,True,None,None
less,False,True,None,None
level,False,True,None,None
license,False,True,None,None
list,False,True,None,None
listen,False,True,None,None
listener,False,True,None,None
little,False,True,None,None
live,False,True,None,None
load,False,True,None,None
location,False,True,None,None
log,False,True,None,None
logger,False,True,None,None
login,False,True,None,None
look,False,True,None,None
loop,False,True,None,None
lose,False,True,None,None
machine,False,True,None,None
manner,False,True,None,None
match,False,True,None,None
math,False,True,None,None
max,False,True,None,None
may,False,True,None,None
medical,False,True,None,None
menu,False,True,None,None
merge,False,True,None,None
message,False,True,None,None
meta,False,True,None,None
method,False,True,None,None
metric,False,True,None,None
min,False,True,None,None
mine,False,True,None,None
mineral,False,True,None,None
miss,False,True,None,None
module,False,True,None,None
mongo,False,True,None,None
move,False,True,None,None
na,False,True,None,None
need,False,True,None,None
negative,False,True,None,None
neutralization,False,True,None,None
new,False,True,None,None
next,False,True,None,None
ng,False,True,None,None
no,False,True,None,None
node,False,True,None,None
none,False,True,None,None
normal,False,True,None,None
not,False,True,None,None
number,False,True,None,None
object,False,True,None,None
observability,False,True,None,None
off,False,True,None,None
offset,False,True,None,None
old,False,True,None,None
one,False,True,None,None
opacity,False,True,None,None
option,False,True,None,None
optionally,False,True,None,None
otherwise,False,True,None,None
outer,False,True,None,None
outside,False,True,None,None
page,False,True,None,None
params,False,True,None,None
parent,False,True,None,None
parse,False,True,None,None
parser,False,True,None,None
part,False,True,None,None
partner,False,True,None,None
password,False,True,None,None
pay,False,True,None,None
payment,False,True,None,None
pino,False,True,None,None
place,False,True,None,None
plain,False,True,None,None
planet,False,True,None,None
port,False,True,None,None
post,False,True,None,None
power,False,True,None,None
pretty,False,True,None,None
previous,False,True,None,None
price,False,True,None,None
print,False,True,None,None
probably,False,True,None,None
probe,False,True,None,None
process,False,True,None,None
production,False,True,None,None
prom,False,True,None,None
property,False,True,None,None
protection,False,True,None,None
protocol,False,True,None,None
provider,False,True,None,None
push,False,True,None,None
put,False,True,None,None
qty,False,True,None,None
quantity,False,True,None,None
query,False,True,None,None
random,False,True,None,None
rare,False,True,None,None
rat,False,True,None,None
rate,False,True,None,None
re,False,True,None,None
reach,False,True,None,None
ready,False,True,None,None
record,False,True,None,None
rect,False,True,None,None
red,False,True,None,None
redirect,False,True,None,None
redis,False,True,None,None
reg,False,True,None,None
register,False,True,None,None
registry,False,True,None,None
remove,False,True,None,None
render,False,True,None,None
replace,False,True,None,None
request,False,True,None,None
res,False,True,None,None
resize,False,True,None,None
responsive,False,True,None,None
result,False,True,None,None
retry,False,True,None,None
rewrite,False,True,None,None
right,False,True,None,None
robot,False,True,None,None
robotic,False,True,None,None
root,False,True,None,None
round,False,True,None,None
route,False,True,None,None
run,False,True,None,None
save,False,True,None,None
sb,False,True,None,None
sc,False,True,None,None
scope,False,True,None,None
score,False,True,None,None
scr,False,True,None,None
script,False,True,None,None
scroll,False,True,None,None
search,False,True,None,None
security,False,True,None,None
sel,False,True,None,None
select,False,True,None,None
selector,False,True,None,None
send,False,True,None,None
sentient,False,True,None,None
set,False,True,None,None
share,False,True,None,None
ship,False,True,None,None
sibling,False,True,None,None
slice,False,True,None,None
slow,False,True,None,None
smartest,False,True,None,None
source,False,True,None,None
space,False,True,None,None
spaceship,False,True,None,None
span,False,True,None,None
special,False,True,None,None
splash,False,True,None,None
splice,False,True,None,None
split,False,True,None,None
src,False,True,None,None
start,False,True,None,None
stat,False,True,None,None
status,False,True,None,None
stock,False,True,None,None
strategic,False,True,None,None
strict,False,True,None,None
string,False,True,None,None
style,False,True,None,None
subtotal,False,True,None,None
success,False,True,None,None
suggest,False,True,None,None
suggestion,False,True,None,None
supply,False,True,None,None
surgery,False,True,None,None
system,False,True,None,None
tag,False,True,None,None
target,False,True,None,None
tax,False,True,None,None
template,False,True,None,None
term,False,True,None,None
test,False,True,None,None
text,False,True,None,None
thank,False,True,None,None
time,False,True,None,None
timeout,False,True,None,None
timer,False,True,None,None
top,False,True,None,None
total,False,True,None,None
trace,False,True,None,None
track,False,True,None,None
travel,False,True,None,None
trim,False,True,None,None
tunnel,False,True,None,None
ultimate,False,True,None,None
undefined,False,True,None,None
unique,False,True,None,None
uniqueid,False,True,None,None
update,False,True,None,None
url,False,True,None,None
us,False,True,None,None
use,False,True,None,None
val,False,True,None,None
validate,False,True,None,None
value,False,True,None,None
variant,False,True,None,None
vegetation,False,True,None,None
versatile,False,True,None,None
view,False,True,None,None
vote,False,True,None,None
warn,False,True,None,None
width,False,True,None,None
will,False,True,None,None
window,False,True,None,None
work,False,True,None,None
yet,False,True,None,None
zero,False,True,None,None
