Category/File,access,active,add,addition,admin,affiliation,agent,allow,anonymous,application,args,argument,array,asset,audit,authenticate,authentication,authorization,auto,available,backend,backup,banner,base,best,blob,bootstrap,brand,bridge,bucket,button,cache,callee,canonical,change,chat,check,child,chunk,class,client,cluster,code,collection,comment,compile,configs,connection,contact,content,continual,control,controller,count,credential,current,cursor,date,datum,day,db,debug,delay,delete,deletion,detach,detail,dictionary,disable,disposition,div,doc,domain,download,dropbox,editor,email,enable,endpoint,enterprise,entity,entry,env,error,etag,event,external,face,failure,feature,feedback,figure,file,first,flexible,folder,font,footer,git,github,global,group,hash,header,health,hide,highlight,history,http,i18n,id,identifier,ids,image,img,inactive,index,individual,info,input,institution,invite,inviter,io,jax,join,key,label,language,legacy,length,level,li,license,limit,line,list,load,location,log,loop,master,match,math,max,member,membership,message,meta,metric,migration,min,mirror,mock,name,new,next,node,non,none,not,notification,oauth,ol,onboarding,online,ons,open,ops,option,output,overall,palette,panel,params,party,password,path,pdf,pending,period,permission,persistor,personal,policy,popup,portal,position,post,preference,prefetched,prevent,preview,professional,project,promise,prompt,property,provider,public,publisher,pubsub,query,range,read,recaptcha,reconfirm,reconfirmation,recurly,ref,remove,request,response,retry,review,ro,role,room,root,saas,saml,seat,security,server1,server2,service,session,setup,sharded,show,sign,single,size,small,snapshot,soft,split,sso,state,store,strength,strict,subscription,success,support,survey,symbol,sync,system,table,tag,team,template,test,tex,theme,third,thread,timeout,token,total,tr,traffic,transport,true,tutorial,type,update,upgrade,upload,url,use,user,variant,variation,verify,version,via,view,viewer,widget,wombat,word,write,ws
DB Files,404,52,591,0,124,108,38,120,46,91,85,69,400,1,244,20,83,39,33,31,120,105,7,41,7,1783,2,11,12,356,0,378,5,3,628,43,622,35,785,106,935,17,794,323,265,368,12,90,14,675,4,8,267,339,26,191,91,365,636,54,767,167,44,1475,48,1,64,2,65,5,31,3130,76,73,12,76,1721,193,36,3,382,512,9,3357,0,187,91,3,161,425,8,0,3369,217,7,596,1,0,128,6,148,344,1381,286,83,56,3,1279,142,0,9473,118,814,100,0,0,133,28,66,92,227,375,40,19,0,176,803,222,19,68,796,83,0,12,199,500,163,182,49,857,45,16,254,114,181,152,44,558,189,506,96,83,0,281,1171,589,324,741,131,40,958,158,32,16,2,2,25,66,321,527,286,0,0,1,89,25,558,1405,121,107,36,55,93,17,53,1,4,78,263,61,5,17,31,4,7280,730,1,86,185,52,6,12,316,691,598,0,112,24,144,403,325,820,1299,71,3,3,0,140,373,1,157,8,55,0,0,29,323,70,55,47,31,20,522,8,100,52,118,120,220,473,14,13,956,79,87,23,7,228,23,66,280,140,34,523,27,0,37,154,288,843,91,0,9,9,0,0,196,1180,33,96,380,362,4615,7,21,44,544,23,84,2,1,8,55,447,0
Non-DB Files,1355,360,2951,20,612,644,202,624,170,90,626,102,962,36,476,79,748,524,166,138,50,93,76,439,95,1985,29,201,45,826,82,811,16,15,3754,284,1804,97,1893,219,3216,44,2897,555,2337,1369,36,162,356,1932,1,75,2391,926,36,726,300,1207,2820,140,701,647,120,2489,134,65,516,25,474,28,39,11229,140,241,80,924,4442,646,87,33,1832,872,89,13362,3,1043,195,8,266,2265,26,26,10264,874,50,2393,198,13,81,16,254,1468,2224,516,172,65,46,4200,570,29,28686,99,1125,519,15,70,854,118,430,312,979,1652,15,6,7,834,2546,676,141,294,3118,1130,3,161,842,2238,928,531,184,2032,55,236,1301,426,585,905,271,2064,12975,1293,212,203,5,2034,5618,2330,1991,778,381,94,3888,714,94,203,118,0,106,372,1090,1626,1041,13,27,7,86,109,1146,5242,202,381,79,411,359,165,488,1,41,265,679,33,6,45,152,70,22759,5153,23,536,309,249,155,4,711,2631,1824,23,170,44,947,833,1379,2703,1719,170,190,23,39,512,948,11,323,57,104,8,8,156,2478,163,0,158,181,131,1004,98,1282,32,1000,164,907,1248,11,176,4302,247,276,64,62,652,209,206,1318,119,546,2510,21,68,132,604,814,2777,264,52,11,28,11,103,820,5303,98,428,1065,1081,17344,344,279,145,3540,165,424,22,4,91,205,1176,21

db|server-ce/hotfix/4.0.6/clean_sl_history_data.js,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db|services/web/test/frontend/shared/utils/colors.test.js,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
db|services/web/test/unit/src/References/ReferencesHandlerTests.mjs,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,16,0,0,18,1,0,16,0,0,0,0,0,0,5,0,0,0,0,8,0,0,34,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,14,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0
db|services/web/frontend/stories/settings/helpers/linking.js,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,3,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0
db|services/web/modules/server-ce-scripts/scripts/check-mongodb.mjs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0
db|services/web/modules/launchpad/test/acceptance/src/LaunchpadTests.mjs,0,0,0,0,15,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
db|services/web/test/acceptance/src/MongoHelper.mjs,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,63,0,20,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0
